meta,tx,ledger_index,hash,ledger_hash,close_time_iso,validated,has_memos,main_memo_data,converted_memos
"{'AffectedNodes': [{'ModifiedNode': {'FinalFields': {'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'Balance': '18999990', 'Flags': 0, 'OwnerCount': 0, 'Sequence': 91469520}, 'LedgerEntryType': 'AccountRoot', 'LedgerIndex': '79008BC8C1198105ED0BD6F80BA3E501B09769FCBF46E962E8335F6B7631005F', 'PreviousFields': {'Balance': '20000000', 'Sequence': 91469519}, 'PreviousTxnID': 'E85C0558D3970E4F0653B38417AAA5FA932D85BC56658913CD6D0D3DA63D10F1', 'PreviousTxnLgrSeq': 91469519}}, {'ModifiedNode': {'FinalFields': {'Account': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'Balance': '120779989', 'Flags': 0, 'OwnerCount': 2, 'Sequence': 87571472}, 'LedgerEntryType': 'AccountRoot', 'LedgerIndex': '83A5A9FB48E713D6B612697D921D5A67D59942B2ACD7C660639ABC3A96482DA9', 'PreviousFields': {'Balance': '119779989'}, 'PreviousTxnID': '0BA8C9D8AE2B36CAF825492BCC2388BC86C40154F1D60D2B715FF7BC4E619139', 'PreviousTxnLgrSeq': 91468633}}], 'TransactionIndex': 13, 'TransactionResult': 'tesSUCCESS', 'delivered_amount': '1000000'}","{'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'DeliverMax': '1000000', 'Destination': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'Fee': '10', 'Flags': 0, 'LastLedgerSequence': 91469646, 'Memos': [{'Memo': {'MemoData': '492077696C6C20746573742074686520506F737420466961742057616C6C6574206F6E2057696E646F77732E20', 'MemoFormat': '57696E646F7773546573745573657231', 'MemoType': '494E4954494154494F4E5F52495445'}}], 'Sequence': 91469519, 'SigningPubKey': 'ED76ED98D763628AB637699592D447FB0C58739DA225B26F6B73B918B4795496CA', 'TransactionType': 'Payment', 'TxnSignature': '5F5D3F8ECB850025955A9373041F73BFA1A274A883EE7E12A37871E9F1C759EAA4879842C1FDD3161FB204846934BB446990B6525E65D63E47B8573B69C14909', 'ledger_index': 91469628, 'date': 782429082}",91469628,9CCAE07D0E7EE56DBCB1C36C27136A876A0A92DDA176D07D114617B3BF54C2FB,E583CA8ED8224D4044459DF69157B748023D75F23BB2E55B571196008E448E36,2024-10-16T21:24:42Z,True,True,"{'MemoData': '492077696C6C20746573742074686520506F737420466961742057616C6C6574206F6E2057696E646F77732E20', 'MemoFormat': '57696E646F7773546573745573657231', 'MemoType': '494E4954494154494F4E5F52495445'}","{'user': 'WindowsTestUser1', 'task_id': 'INITIATION_RITE', 'full_output': 'I will test the Post Fiat Wallet on Windows. '}"
"{'AffectedNodes': [{'ModifiedNode': {'FinalFields': {'Account': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'Balance': '120779979', 'Flags': 0, 'OwnerCount': 2, 'Sequence': 87571473}, 'LedgerEntryType': 'AccountRoot', 'LedgerIndex': '83A5A9FB48E713D6B612697D921D5A67D59942B2ACD7C660639ABC3A96482DA9', 'PreviousFields': {'Balance': '120779989', 'Sequence': 87571472}, 'PreviousTxnID': '9CCAE07D0E7EE56DBCB1C36C27136A876A0A92DDA176D07D114617B3BF54C2FB', 'PreviousTxnLgrSeq': 91469628}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-20'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '1'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'D585E2B029C167BCDCE8A948FAAC073CAF404DADFDF24E7DD5B60A496D7642FF', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '0'}}, 'PreviousTxnID': '3E09CC90B9C99530367853F8090E7ACB59BA7AD6649496505BD4704AFCECDAFC', 'PreviousTxnLgrSeq': 91469630}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-449430'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '0'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'EC72650DE10D98C6CD9C5F205A27C543AA92D1C784395900AB424BB30B0D9787', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-449450'}}, 'PreviousTxnID': '0BA8C9D8AE2B36CAF825492BCC2388BC86C40154F1D60D2B715FF7BC4E619139', 'PreviousTxnLgrSeq': 91468633}}], 'TransactionIndex': 30, 'TransactionResult': 'tesSUCCESS', 'delivered_amount': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '20'}}","{'Account': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'DeliverMax': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '20'}, 'Destination': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'Fee': '10', 'Flags': 0, 'LastLedgerSequence': 91469649, 'Memos': [{'Memo': {'MemoData': '494E4954494154494F4E5F524557415244205F5F5F20546865207573657220737461746564207468656972206F626A65637469766520636C6561726C792062757420646964206E6F742064657363726962652061206C6F6E672D7465726D206F72206F6E676F696E6720676F616C2E', 'MemoFormat': '706F737466696174666F756E646174696F6E', 'MemoType': '494E4954494154494F4E5F524557415244'}}], 'Sequence': 87571472, 'SigningPubKey': 'ED81962C730DDDA7AD72936142ABCCE0F2E3F7C562D6F38D8C50B74CB4EA0BE0A9', 'TransactionType': 'Payment', 'TxnSignature': '1722BB099B98EFCB2AAC212468F82C0507592F0CD95430836A7AA0A8A6167EBF6F970FE2DC2CB37D9CD1846250C265247238FAD8650F623AF7A683626CC90B08', 'ledger_index': 91469631, 'date': 782429100}",91469631,4E5AE1D504E852105B6518D1D0BB13962C26A599D113AE3C3B4D30A086334E68,07E27A674AE3C2EEF5C63CA940B2C8C8C825AA9DD1003DFB3AE6B5C98C874813,2024-10-16T21:25:00Z,True,True,"{'MemoData': '494E4954494154494F4E5F524557415244205F5F5F20546865207573657220737461746564207468656972206F626A65637469766520636C6561726C792062757420646964206E6F742064657363726962652061206C6F6E672D7465726D206F72206F6E676F696E6720676F616C2E', 'MemoFormat': '706F737466696174666F756E646174696F6E', 'MemoType': '494E4954494154494F4E5F524557415244'}","{'user': 'postfiatfoundation', 'task_id': 'INITIATION_REWARD', 'full_output': 'INITIATION_REWARD ___ The user stated their objective clearly but did not describe a long-term or ongoing goal.'}"
"{'AffectedNodes': [{'ModifiedNode': {'FinalFields': {'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'Balance': '18999970', 'Flags': 0, 'OwnerCount': 1, 'Sequence': 91469522}, 'LedgerEntryType': 'AccountRoot', 'LedgerIndex': '79008BC8C1198105ED0BD6F80BA3E501B09769FCBF46E962E8335F6B7631005F', 'PreviousFields': {'Balance': '18999980', 'Sequence': 91469521}, 'PreviousTxnID': '3E09CC90B9C99530367853F8090E7ACB59BA7AD6649496505BD4704AFCECDAFC', 'PreviousTxnLgrSeq': 91469630}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-13'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '1'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'D585E2B029C167BCDCE8A948FAAC073CAF404DADFDF24E7DD5B60A496D7642FF', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-20'}}, 'PreviousTxnID': '4E5AE1D504E852105B6518D1D0BB13962C26A599D113AE3C3B4D30A086334E68', 'PreviousTxnLgrSeq': 91469631}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-446573'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '0'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'EC72650DE10D98C6CD9C5F205A27C543AA92D1C784395900AB424BB30B0D9787', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-446566'}}, 'PreviousTxnID': 'C6CDDC634BBD9CDE8A79418C5E1A8CFFB7543FF6023ACE23DF90D4C7E2406F2C', 'PreviousTxnLgrSeq': 91489792}}], 'TransactionIndex': 67, 'TransactionResult': 'tesSUCCESS', 'delivered_amount': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '7'}}","{'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'DeliverMax': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '7'}, 'Destination': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'Fee': '10', 'Flags': 0, 'LastLedgerSequence': 91491132, 'Memos': [{'Memo': {'MemoData': '555345522047454E45534953205F5F20757365723A2077696E646F7773746573747573657231', 'MemoFormat': '77696E646F7773746573747573657231', 'MemoType': '323032342D31302D31375F31363A34395F5F44563733'}}], 'Sequence': 91469521, 'SigningPubKey': 'ED76ED98D763628AB637699592D447FB0C58739DA225B26F6B73B918B4795496CA', 'TransactionType': 'Payment', 'TxnSignature': '5A86710F5CAC008AEE39DAD83E8575A57144753A8DEFFD0BF34C1455BD933DC9D93C73769E1D96AFB902917A29E67F93351C5FB757B1916ED6B0B0847AB0A209', 'ledger_index': 91491115, 'date': 782513371}",91491115,31FE005E3E4D6E7B3973C4A436E9532ABD4A16F34B8B5E7EE28D41056CDB8EB7,97F66272499F878350377326E0D23A8FD0D83EF04756B3415846D9E0D101EF37,2024-10-17T20:49:31Z,True,True,"{'MemoData': '555345522047454E45534953205F5F20757365723A2077696E646F7773746573747573657231', 'MemoFormat': '77696E646F7773746573747573657231', 'MemoType': '323032342D31302D31375F31363A34395F5F44563733'}","{'user': 'windowstestuser1', 'task_id': '2024-10-17_16:49__DV73', 'full_output': 'USER GENESIS __ user: windowstestuser1'}"
"{'AffectedNodes': [{'ModifiedNode': {'FinalFields': {'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'Balance': '18999960', 'Flags': 0, 'OwnerCount': 1, 'Sequence': 91469523}, 'LedgerEntryType': 'AccountRoot', 'LedgerIndex': '79008BC8C1198105ED0BD6F80BA3E501B09769FCBF46E962E8335F6B7631005F', 'PreviousFields': {'Balance': '18999970', 'Sequence': 91469522}, 'PreviousTxnID': '31FE005E3E4D6E7B3973C4A436E9532ABD4A16F34B8B5E7EE28D41056CDB8EB7', 'PreviousTxnLgrSeq': 91491115}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-12'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '1'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'D585E2B029C167BCDCE8A948FAAC073CAF404DADFDF24E7DD5B60A496D7642FF', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-13'}}, 'PreviousTxnID': '31FE005E3E4D6E7B3973C4A436E9532ABD4A16F34B8B5E7EE28D41056CDB8EB7', 'PreviousTxnLgrSeq': 91491115}}, {'ModifiedNode': {'FinalFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-446574'}, 'Flags': 131072, 'HighLimit': {'currency': 'PFT', 'issuer': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'value': '100000000'}, 'HighNode': '0', 'LowLimit': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '0'}, 'LowNode': '0'}, 'LedgerEntryType': 'RippleState', 'LedgerIndex': 'EC72650DE10D98C6CD9C5F205A27C543AA92D1C784395900AB424BB30B0D9787', 'PreviousFields': {'Balance': {'currency': 'PFT', 'issuer': 'rrrrrrrrrrrrrrrrrrrrBZbvji', 'value': '-446573'}}, 'PreviousTxnID': '31FE005E3E4D6E7B3973C4A436E9532ABD4A16F34B8B5E7EE28D41056CDB8EB7', 'PreviousTxnLgrSeq': 91491115}}], 'TransactionIndex': 71, 'TransactionResult': 'tesSUCCESS', 'delivered_amount': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '1'}}","{'Account': 'rNC2hS269hTvMZwNakwHPkw4VeZNwzpS2E', 'DeliverMax': {'currency': 'PFT', 'issuer': 'rnQUEEg8yyjrwk9FhyXpKavHyCRJM9BDMW', 'value': '1'}, 'Destination': 'r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD', 'Fee': '10', 'Flags': 0, 'LastLedgerSequence': 91491135, 'Memos': [{'Memo': {'MemoData': '68747470733A2F2F646F63732E676F6F676C652E636F6D2F646F63756D656E742F642F315A75744F70634E4B754A5A32546978526F727A497973436A313554312D396F5076306B7565344D307A65772F656469743F7573703D73686172696E67', 'MemoFormat': '77696E646F7773746573747573657231', 'MemoType': '676F6F676C655F646F635F636F6E746578745F6C696E6B'}}], 'Sequence': 91469522, 'SigningPubKey': 'ED76ED98D763628AB637699592D447FB0C58739DA225B26F6B73B918B4795496CA', 'TransactionType': 'Payment', 'TxnSignature': 'CC297BFDC4CB32B939888D701F0A9C2F70F4F4DD18D16DCC4AB44A6EEA27E8E41C5DD7D0BC99D039C54165D669A93F5142386686D63271AE9BA6E934AE91A80B', 'ledger_index': 91491118, 'date': 782513381}",91491118,796EAE8EF616508920D50521766BBE0F0DDC19FA31027C4DA8499F82E82EE3AF,2BBE57E9C2D48BE7FD2CBB85D90BB74193BC565BA2C969C4F1DD3C89AFE179C4,2024-10-17T20:49:41Z,True,True,"{'MemoData': '68747470733A2F2F646F63732E676F6F676C652E636F6D2F646F63756D656E742F642F315A75744F70634E4B754A5A32546978526F727A497973436A313554312D396F5076306B7565344D307A65772F656469743F7573703D73686172696E67', 'MemoFormat': '77696E646F7773746573747573657231', 'MemoType': '676F6F676C655F646F635F636F6E746578745F6C696E6B'}","{'user': 'windowstestuser1', 'task_id': 'google_doc_context_link', 'full_output': 'https://docs.google.com/document/d/1ZutOpcNKuJZ2TixRorzIysCj15T1-9oPv0kue4M0zew/edit?usp=sharing'}"
